Participant.ID,Which.Condition.,In.the.computer.generated.world.I.had.a.sense.of..being.there.,Somehow.I.felt.that.the.virtual.world.surrounded.me.,I.felt.like.I.was.just.perceiving.pictures.,I.did.not.feel.present.in.the.virtual.space.,I.had.a.sense.of.acting.in.the.virtual.space..rather.than.operating.something.from.outside.,I.felt.present.in.the.virtual.space.,How.aware.were.you.of.the.real.world.surrounding.while.navigating.in.the.virtual.world...i.e..sounds..room.temperature..other.people..etc...,I.was.not.aware.of.my.real.environment.,I.still.paid.attention.to.the.real.environment.,I.was.completely.captivated.by.the.virtual.world.,How.real.did.the.virtual.world.seem.to.you.,How.much.did.your.experience.in.the.VE.seem.consistent.with.a.real.environment.,How.real.did.the.VE.seem.compared.with.an.imagined.world.,The.virtual.world.seemed.more.realistic.than.the.real.world.,SP,INV,REAL
1,Co-located Fully VR (FVR),5,6,3,5,5,5,5,5,2,6,5,5,6,6,24,20,18
1,Co-located See-through VR (SVR),6,7,3,5,6,6,6,7,6,6,2,6,6,6,27,19,22
1,Remote VR,7,6,3,6,7,6,6,6,2,7,2,6,6,5,28,23,21
2,Co-located Fully VR (FVR),5,6,3,2,4,6,5,6,3,6,3,6,3,5,21,20,17
2,Co-located See-through VR (SVR),6,6,2,6,5,6,4,6,2,6,2,6,5,2,27,20,17
2,Remote VR,5,3,2,5,5,5,3,6,4,6,5,5,4,3,22,17,13
7,Co-located Fully VR (FVR),6,6,2,2,6,6,6,6,2,6,4,4,5,2,24,22,13
7,Co-located See-through VR (SVR),5,5,2,6,5,5,3,2,5,5,2,6,5,2,25,11,17
7,Remote VR,5,5,2,5,5,5,2,3,6,5,5,5,5,2,24,10,13
8,Co-located Fully VR (FVR),4,3,5,4,5,3,3,5,3,5,5,5,4,2,16,16,12
8,Co-located See-through VR (SVR),5,4,5,5,5,5,6,6,3,6,3,4,3,3,20,21,13
8,Remote VR,6,5,3,5,5,5,2,3,2,6,2,4,4,3,23,15,15
9,Co-located Fully VR (FVR),7,7,1,7,5,6,7,6,2,6,1,7,6,6,30,23,24
9,Co-located See-through VR (SVR),7,7,1,7,7,7,7,7,1,7,1,7,7,5,33,26,24
9,Remote VR,6,6,2,1,4,6,5,3,4,6,1,6,3,4,21,16,18
10,Co-located Fully VR (FVR),6,6,2,6,4,6,6,3,3,6,2,6,2,3,26,18,15
10,Co-located See-through VR (SVR),6,6,2,6,6,6,5,3,3,5,2,5,3,2,28,16,14
10,Remote VR,6,5,1,7,6,5,6,5,2,6,3,6,6,4,28,21,19
11,Co-located Fully VR (FVR),6,7,2,2,5,5,6,6,2,6,5,5,5,1,23,22,12
11,Co-located See-through VR (SVR),6,7,2,2,2,6,6,5,2,6,6,6,5,1,21,21,12
11,Remote VR,5,5,2,2,6,6,3,6,3,6,6,5,4,2,23,18,11
12,Co-located Fully VR (FVR),5,5,3,3,3,5,3,6,2,5,6,5,5,2,19,18,12
12,Co-located See-through VR (SVR),5,5,3,3,3,6,2,5,2,5,5,5,5,2,20,16,13
12,Remote VR,6,6,1,1,5,6,3,5,5,5,6,4,4,2,23,14,10
13,Co-located Fully VR (FVR),5,6,1,6,6,5,7,7,1,6,2,6,5,2,28,25,17
13,Co-located See-through VR (SVR),6,6,1,6,6,7,7,7,1,7,3,1,3,2,30,26,9
13,Remote VR,5,5,1,3,4,5,5,7,2,6,2,7,4,2,22,22,17
14,Co-located Fully VR (FVR),4,4,2,2,5,4,5,2,4,4,4,4,4,2,19,13,12
14,Co-located See-through VR (SVR),5,5,2,3,5,5,4,2,4,4,2,5,5,3,22,12,17
14,Remote VR,5,5,2,5,5,5,4,3,5,5,4,4,4,2,24,13,12
15,Co-located Fully VR (FVR),6,6,2,5,5,6,5,6,3,6,3,4,5,3,26,20,15
15,Co-located See-through VR (SVR),4,5,2,6,6,6,3,5,2,5,2,4,3,2,27,17,13
15,Remote VR,5,6,5,6,6,6,6,6,2,6,2,5,5,3,25,22,17
16,Co-located Fully VR (FVR),6,5,2,2,7,6,1,7,2,5,4,2,2,1,24,17,7
16,Co-located See-through VR (SVR),1,2,1,3,2,3,4,6,3,1,1,2,5,1,15,14,13
16,Remote VR,4,5,2,2,6,5,6,7,6,5,6,3,3,3,22,18,9
17,Co-located Fully VR (FVR),5,4,5,4,5,5,3,4,4,4,5,5,5,4,19,13,15
17,Co-located See-through VR (SVR),4,5,3,5,5,5,5,3,3,3,5,3,3,5,23,14,12
17,Remote VR,5,5,5,4,5,5,5,3,3,4,5,5,6,5,20,15,17
18,Co-located Fully VR (FVR),5,6,4,6,4,3,5,3,3,6,4,5,3,3,21,17,13
18,Co-located See-through VR (SVR),4,4,5,4,4,5,3,6,2,6,4,5,4,3,18,19,14
18,Remote VR,5,6,3,6,6,5,5,5,2,6,5,6,5,3,26,20,15
19,Co-located Fully VR (FVR),5,4,2,2,3,5,6,6,3,4,5,3,2,2,18,19,8
19,Co-located See-through VR (SVR),4,3,4,2,2,5,5,4,4,3,3,2,3,2,14,14,10
19,Remote VR,5,5,4,2,4,5,3,2,4,3,5,3,3,2,18,10,9
20,Co-located Fully VR (FVR),5,5,6,4,4,3,5,4,2,6,2,2,2,4,16,19,12
20,Co-located See-through VR (SVR),5,6,1,1,4,5,5,4,2,5,4,2,3,1,21,18,8
20,Remote VR,4,5,5,4,6,4,4,6,3,3,3,3,4,5,20,16,15
21,Co-located Fully VR (FVR),7,6,2,6,6,6,5,4,4,6,2,5,2,2,28,17,13
21,Co-located See-through VR (SVR),5,5,2,6,5,6,3,3,6,2,4,5,5,3,26,8,15
21,Remote VR,5,5,2,4,6,6,5,4,5,5,2,6,5,3,25,15,18
22,Co-located Fully VR (FVR),7,7,1,7,1,7,7,5,1,7,1,5,3,3,27,24,16
22,Co-located See-through VR (SVR),4,4,1,6,1,6,5,4,2,7,2,2,1,2,22,20,9
22,Remote VR,7,7,1,7,1,7,2,5,1,7,2,5,3,4,27,19,16
23,Co-located Fully VR (FVR),5,5,3,3,6,6,6,5,3,5,6,4,5,3,23,19,12
23,Co-located See-through VR (SVR),5,6,6,3,5,6,5,6,3,5,2,6,5,5,20,19,20
23,Remote VR,5,6,2,3,5,5,3,3,5,5,4,5,4,2,23,12,13
24,Co-located Fully VR (FVR),6,5,1,6,6,6,2,4,2,5,4,5,5,6,28,15,18
24,Co-located See-through VR (SVR),5,6,3,6,1,4,3,3,5,4,5,3,3,3,20,11,10
24,Remote VR,6,6,2,6,5,6,6,6,2,5,6,4,3,2,27,21,9
25,Co-located Fully VR (FVR),6,6,2,6,6,6,6,2,2,6,2,6,5,3,28,18,18
25,Co-located See-through VR (SVR),7,7,2,6,6,6,6,6,2,6,3,3,3,2,29,22,11
25,Remote VR,5,5,2,2,6,6,6,5,2,5,2,4,5,2,23,20,15
26,Co-located Fully VR (FVR),6,6,2,2,2,6,2,2,6,2,3,4,5,3,20,6,15
26,Co-located See-through VR (SVR),7,6,1,2,3,6,1,3,6,2,2,5,3,3,22,6,15
26,Remote VR,7,7,2,1,3,6,2,3,4,6,2,3,5,3,21,13,15
27,Co-located Fully VR (FVR),3,5,4,5,3,5,3,3,5,6,4,3,2,3,20,13,10
27,Co-located See-through VR (SVR),6,6,5,5,6,6,3,3,5,5,4,3,3,2,24,12,10
27,Remote VR,6,5,4,6,5,5,3,2,6,6,3,5,3,2,23,11,13
28,Co-located Fully VR (FVR),5,5,1,7,5,5,3,3,3,4,3,3,4,2,27,13,12
28,Co-located See-through VR (SVR),5,5,1,7,1,5,4,6,6,5,3,5,4,3,23,15,15
28,Remote VR,4,4,1,5,5,4,4,2,5,4,4,4,4,3,23,11,13
29,Co-located Fully VR (FVR),6,7,1,1,6,6,6,7,2,6,2,6,6,6,25,23,22
29,Co-located See-through VR (SVR),7,7,2,2,7,7,7,6,2,7,2,7,7,6,27,24,24
29,Remote VR,6,6,2,2,6,6,6,6,6,6,6,6,6,6,24,18,18
30,Co-located Fully VR (FVR),5,5,3,3,3,3,3,3,5,5,5,2,2,1,17,12,6
30,Co-located See-through VR (SVR),3,4,2,3,3,3,3,3,5,3,2,2,2,1,17,10,9
30,Remote VR,4,3,2,2,4,5,3,5,4,5,5,3,3,1,18,15,8
31,Co-located Fully VR (FVR),4,6,2,6,6,6,7,4,4,6,2,6,6,6,28,19,22
31,Co-located See-through VR (SVR),6,6,6,6,6,6,6,7,7,7,2,7,6,7,24,19,24
31,Remote VR,5,6,3,6,6,6,6,5,6,6,2,3,3,4,27,17,14
32,Co-located Fully VR (FVR),6,6,2,6,4,5,5,5,5,3,3,4,4,2,25,14,13
32,Co-located See-through VR (SVR),4,4,1,5,4,5,3,4,3,5,5,4,4,3,23,15,12
32,Remote VR,4,4,3,5,3,4,5,4,3,6,6,2,4,1,19,18,7
33,Co-located Fully VR (FVR),5,5,3,5,5,5,3,2,5,5,2,5,3,3,23,11,15
33,Co-located See-through VR (SVR),6,6,2,2,6,6,3,3,5,3,3,6,2,2,24,10,13
33,Remote VR,5,5,3,3,5,5,3,5,5,3,3,5,3,3,21,12,14
34,Co-located Fully VR (FVR),6,6,2,2,6,6,7,7,1,7,2,5,4,3,24,26,16
34,Co-located See-through VR (SVR),5,6,2,2,5,4,3,5,4,3,4,3,2,1,21,13,8
34,Remote VR,5,5,2,2,5,5,7,6,2,6,2,5,5,2,21,23,16
