"Participant.ID","Which.Condition.","Mental.Demand","Physical.Demand","Temporal.Demand","Performance","Effort","Frustration"
1,"Co-located Fully VR (FVR)",5,6,6,6,5,6
1,"Co-located See-through VR (SVR)",6,5,6,6,6,4
1,"Remote VR",3,3,4,1,4,3
2,"Co-located Fully VR (FVR)",4,4,5,2,5,2
2,"Co-located See-through VR (SVR)",3,5,3,1,6,1
2,"Remote VR",4,5,2,5,6,2
7,"Co-located Fully VR (FVR)",3,6,2,2,5,6
7,"Co-located See-through VR (SVR)",4,5,1,2,7,2
7,"Remote VR",5,6,2,6,6,4
8,"Co-located Fully VR (FVR)",5,5,2,2,4,2
8,"Co-located See-through VR (SVR)",2,3,2,3,4,2
8,"Remote VR",4,4,3,1,4,1
9,"Co-located Fully VR (FVR)",1,1,1,1,3,1
9,"Co-located See-through VR (SVR)",1,1,1,1,1,1
9,"Remote VR",6,6,2,6,6,2
10,"Co-located Fully VR (FVR)",4,4,2,1,3,1
10,"Co-located See-through VR (SVR)",3,1,1,1,2,1
10,"Remote VR",4,5,6,2,6,6
11,"Co-located Fully VR (FVR)",6,4,3,5,5,6
11,"Co-located See-through VR (SVR)",4,3,2,6,4,2
11,"Remote VR",5,3,5,5,5,4
12,"Co-located Fully VR (FVR)",6,4,4,5,5,4
12,"Co-located See-through VR (SVR)",5,4,4,4,5,4
12,"Remote VR",4,2,3,7,4,1
13,"Co-located Fully VR (FVR)",2,3,2,2,3,3
13,"Co-located See-through VR (SVR)",1,1,1,1,2,1
13,"Remote VR",2,2,2,1,2,1
14,"Co-located Fully VR (FVR)",5,4,4,4,5,3
14,"Co-located See-through VR (SVR)",5,5,2,5,5,3
14,"Remote VR",4,4,3,2,5,2
15,"Co-located Fully VR (FVR)",2,2,2,1,3,3
15,"Co-located See-through VR (SVR)",3,3,3,1,2,1
15,"Remote VR",2,3,2,1,3,2
16,"Co-located Fully VR (FVR)",1,1,1,7,2,1
16,"Co-located See-through VR (SVR)",1,5,3,4,5,3
16,"Remote VR",2,2,1,7,2,1
17,"Co-located Fully VR (FVR)",5,6,6,3,5,6
17,"Co-located See-through VR (SVR)",4,4,4,5,5,2
17,"Remote VR",5,5,4,6,5,3
18,"Co-located Fully VR (FVR)",4,3,5,5,4,3
18,"Co-located See-through VR (SVR)",3,3,3,5,4,2
18,"Remote VR",4,4,5,5,5,2
19,"Co-located Fully VR (FVR)",2,4,2,4,2,2
19,"Co-located See-through VR (SVR)",4,4,3,2,4,4
19,"Remote VR",2,5,2,3,4,2
20,"Co-located Fully VR (FVR)",5,4,3,3,5,4
20,"Co-located See-through VR (SVR)",6,4,3,6,6,2
20,"Remote VR",6,4,2,5,6,4
21,"Co-located Fully VR (FVR)",2,3,4,1,5,1
21,"Co-located See-through VR (SVR)",3,2,2,1,4,1
21,"Remote VR",2,2,2,1,5,1
22,"Co-located Fully VR (FVR)",3,4,2,1,3,1
22,"Co-located See-through VR (SVR)",3,2,4,1,4,1
22,"Remote VR",5,2,1,1,2,1
23,"Co-located Fully VR (FVR)",4,5,3,3,6,3
23,"Co-located See-through VR (SVR)",4,5,5,2,4,4
23,"Remote VR",4,4,4,2,3,2
24,"Co-located Fully VR (FVR)",2,2,1,2,2,1
24,"Co-located See-through VR (SVR)",2,2,1,2,2,2
24,"Remote VR",2,2,1,1,2,1
25,"Co-located Fully VR (FVR)",5,4,5,2,5,2
25,"Co-located See-through VR (SVR)",5,5,6,6,3,1
25,"Remote VR",4,4,5,2,5,2
26,"Co-located Fully VR (FVR)",7,3,7,1,7,5
26,"Co-located See-through VR (SVR)",5,2,6,1,5,2
26,"Remote VR",7,3,7,1,7,3
27,"Co-located Fully VR (FVR)",2,2,1,1,3,2
27,"Co-located See-through VR (SVR)",3,2,2,1,3,1
27,"Remote VR",2,1,1,1,3,1
28,"Co-located Fully VR (FVR)",2,2,2,1,6,1
28,"Co-located See-through VR (SVR)",3,5,4,1,7,1
28,"Remote VR",1,1,2,1,6,1
29,"Co-located Fully VR (FVR)",6,6,6,5,7,3
29,"Co-located See-through VR (SVR)",4,6,4,5,7,1
29,"Remote VR",4,6,6,5,5,1
30,"Co-located Fully VR (FVR)",6,5,5,3,3,3
30,"Co-located See-through VR (SVR)",6,6,6,5,5,6
30,"Remote VR",6,6,5,5,5,5
31,"Co-located Fully VR (FVR)",2,1,5,1,2,1
31,"Co-located See-through VR (SVR)",1,2,3,1,5,1
31,"Remote VR",4,6,5,1,4,2
32,"Co-located Fully VR (FVR)",6,6,4,2,6,2
32,"Co-located See-through VR (SVR)",5,5,5,4,5,2
32,"Remote VR",5,4,2,4,6,3
33,"Co-located Fully VR (FVR)",2,2,2,2,2,2
33,"Co-located See-through VR (SVR)",5,5,3,3,4,2
33,"Remote VR",5,4,3,5,4,2
34,"Co-located Fully VR (FVR)",6,6,2,2,6,3
34,"Co-located See-through VR (SVR)",6,6,3,2,6,3
34,"Remote VR",5,5,2,2,5,2
